trial_number,correct_score_full,correct_score_helped,wrong_score,left_prob,right_prob,help_prob,face_stim_path,none_stim_path,rightpos_stim_path,leftpos_stim_path,rightneg_stim_path,leftneg_stim_path,ITI
1,40,20,100,0.8,0.2,0.9,/js/tasks/active_trust/media/face_8.png,/js/tasks/active_trust/media/medium_none.png,/js/tasks/active_trust/media/medium_rp.png,/js/tasks/active_trust/media/medium_lp.png,/js/tasks/active_trust/media/medium_rn.png,/js/tasks/active_trust/media/medium_ln.png,0.5
2,40,20,100,0.8,0.2,0.9,/js/tasks/active_trust/media/face_7.png,/js/tasks/active_trust/media/small_none.png,/js/tasks/active_trust/media/small_rp.png,/js/tasks/active_trust/media/small_lp.png,/js/tasks/active_trust/media/small_rn.png,/js/tasks/active_trust/media/small_ln.png,0.5
3,40,20,100,0.8,0.2,0.9,/js/tasks/active_trust/media/face_6.png,/js/tasks/active_trust/media/large_none.png,/js/tasks/active_trust/media/large_rp.png,/js/tasks/active_trust/media/large_lp.png,/js/tasks/active_trust/media/large_rn.png,/js/tasks/active_trust/media/large_ln.png,0.5
4,40,20,100,0.8,0.2,0.9,/js/tasks/active_trust/media/face_5.png,/js/tasks/active_trust/media/medium_none.png,/js/tasks/active_trust/media/medium_rp.png,/js/tasks/active_trust/media/medium_lp.png,/js/tasks/active_trust/media/medium_rn.png,/js/tasks/active_trust/media/medium_ln.png,0.5
5,40,20,100,0.8,0.2,0.9,/js/tasks/active_trust/media/face_4.png,/js/tasks/active_trust/media/large_none.png,/js/tasks/active_trust/media/large_rp.png,/js/tasks/active_trust/media/large_lp.png,/js/tasks/active_trust/media/large_rn.png,/js/tasks/active_trust/media/large_ln.png,0.5
6,40,20,100,0.8,0.2,0.9,/js/tasks/active_trust/media/face_3.png,/js/tasks/active_trust/media/large_none.png,/js/tasks/active_trust/media/large_rp.png,/js/tasks/active_trust/media/large_lp.png,/js/tasks/active_trust/media/large_rn.png,/js/tasks/active_trust/media/large_ln.png,0.5
7,40,20,100,0.8,0.2,0.9,/js/tasks/active_trust/media/face_2.png,/js/tasks/active_trust/media/large_none.png,/js/tasks/active_trust/media/large_rp.png,/js/tasks/active_trust/media/large_lp.png,/js/tasks/active_trust/media/large_rn.png,/js/tasks/active_trust/media/large_ln.png,0.5
8,40,20,100,0.8,0.2,0.9,/js/tasks/active_trust/media/face_1.png,/js/tasks/active_trust/media/large_none.png,/js/tasks/active_trust/media/large_rp.png,/js/tasks/active_trust/media/large_lp.png,/js/tasks/active_trust/media/large_rn.png,/js/tasks/active_trust/media/large_ln.png,0.5
9,40,20,100,0.8,0.2,1.0,/js/tasks/active_trust/media/face_3.png,/js/tasks/active_trust/media/large_none.png,/js/tasks/active_trust/media/large_rp.png,/js/tasks/active_trust/media/large_lp.png,/js/tasks/active_trust/media/large_rn.png,/js/tasks/active_trust/media/large_ln.png,0.5
10,40,20,100,0.8,0.2,1.0,/js/tasks/active_trust/media/face_5.png,/js/tasks/active_trust/media/large_none.png,/js/tasks/active_trust/media/large_rp.png,/js/tasks/active_trust/media/large_lp.png,/js/tasks/active_trust/media/large_rn.png,/js/tasks/active_trust/media/large_ln.png,0.5
11,40,20,100,0.8,0.2,1.0,/js/tasks/active_trust/media/face_7.png,/js/tasks/active_trust/media/large_none.png,/js/tasks/active_trust/media/large_rp.png,/js/tasks/active_trust/media/large_lp.png,/js/tasks/active_trust/media/large_rn.png,/js/tasks/active_trust/media/large_ln.png,0.5
12,40,20,100,0.8,0.2,1.0,/js/tasks/active_trust/media/face_8.png,/js/tasks/active_trust/media/large_none.png,/js/tasks/active_trust/media/large_rp.png,/js/tasks/active_trust/media/large_lp.png,/js/tasks/active_trust/media/large_rn.png,/js/tasks/active_trust/media/large_ln.png,0.5
